result0,abs_diff0,DP_type,blocker,epsilon,gamma
34.494198663813194,0,,result_nonprivate,0,0
34.44217026381997,0.05202839999322606,standard_DP,NaiveDataBlocker,1,2
34.057825823537605,0.4363728402755882,windsorized_DP,NaiveDataBlocker,1,2
33.677515356337175,0.8166833074760191,standard_DP,ResamplingDataBlockerConstantSize,1,2
34.740211426395945,0.24601276258275107,windsorized_DP,ResamplingDataBlockerConstantSize,1,2
35.73529303294178,1.2410943691285894,standard_DP,ResamplingDataBlockerConstantBlocks,1,2
51.04678639297249,16.5525877291593,windsorized_DP,ResamplingDataBlockerConstantBlocks,1,2
34.0434080946533,0.45079056915989213,standard_DP,NaiveDataBlocker,1,2
34.73531728372755,0.2411186199143529,windsorized_DP,NaiveDataBlocker,1,2
35.14811291855367,0.6539142547404779,standard_DP,ResamplingDataBlockerConstantSize,1,2
34.6432447468308,0.14904608301760902,windsorized_DP,ResamplingDataBlockerConstantSize,1,2
34.59937092042369,0.10517225661049423,standard_DP,ResamplingDataBlockerConstantBlocks,1,2
34.264269174843946,0.2299294889692476,windsorized_DP,ResamplingDataBlockerConstantBlocks,1,2
35.126766250339735,0.632567586526541,standard_DP,NaiveDataBlocker,1,4
34.3561514234457,0.1380472403674915,windsorized_DP,NaiveDataBlocker,1,4
35.96572153035137,1.471522866538173,standard_DP,ResamplingDataBlockerConstantSize,1,4
34.757570254946565,0.26337159113337094,windsorized_DP,ResamplingDataBlockerConstantSize,1,4
29.89459167725037,4.599606986562822,standard_DP,ResamplingDataBlockerConstantBlocks,1,4
35.39434303465751,0.9001443708443162,windsorized_DP,ResamplingDataBlockerConstantBlocks,1,4
34.578523112857056,0.08432444904386216,standard_DP,NaiveDataBlocker,1,4
12.697941884839459,21.796256778973735,windsorized_DP,NaiveDataBlocker,1,4
34.01522100244415,0.4789776613690435,standard_DP,ResamplingDataBlockerConstantSize,1,4
34.80240528099492,0.3082066171817246,windsorized_DP,ResamplingDataBlockerConstantSize,1,4
30.18843299983801,4.305765663975183,standard_DP,ResamplingDataBlockerConstantBlocks,1,4
26.780949902892903,7.71324876092029,windsorized_DP,ResamplingDataBlockerConstantBlocks,1,4
33.58446226569922,0.9097363981139708,standard_DP,NaiveDataBlocker,2,2
34.59967394372401,0.10547527991081296,windsorized_DP,NaiveDataBlocker,2,2
34.089183406990884,0.40501525682230977,standard_DP,ResamplingDataBlockerConstantSize,2,2
35.19024316856078,0.696044504747583,windsorized_DP,ResamplingDataBlockerConstantSize,2,2
32.76923558977049,1.724963074042705,standard_DP,ResamplingDataBlockerConstantBlocks,2,2
34.528274913545964,0.034076249732770236,windsorized_DP,ResamplingDataBlockerConstantBlocks,2,2
34.374393570989525,0.11980509282366825,standard_DP,NaiveDataBlocker,2,2
34.76130476032038,0.26710609650718453,windsorized_DP,NaiveDataBlocker,2,2
34.37989041509089,0.11430824872230261,standard_DP,ResamplingDataBlockerConstantSize,2,2
34.53307967438812,0.03888101057492577,windsorized_DP,ResamplingDataBlockerConstantSize,2,2
34.11479534459224,0.3794033192209554,standard_DP,ResamplingDataBlockerConstantBlocks,2,2
